SEMENTE DE TRITICALE     ;NÃO INFORMADO       ;5322;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;3,47
SORGO GRANIFERO          ;EM GRÃOS            ;4745;ES        ;SUDESTE        ;2026;5;ATACADO                                                     ;1,13
SORGO GRANIFERO          ;EM GRÃOS            ;4745;GO        ;CENTRO-OESTE   ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,7
SORGO GRANIFERO          ;EM GRÃOS            ;4745;MG        ;SUDESTE        ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
SORGO GRANIFERO          ;EM GRÃOS            ;4745;MS        ;CENTRO-OESTE   ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,66
SORGO GRANIFERO          ;EM GRÃOS            ;4745;MT        ;CENTRO-OESTE   ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,65
SORGO GRANIFERO          ;EM GRÃOS            ;4745;PI        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,79
SORGO GRANIFERO          ;EM GRÃOS            ;4745;RS        ;SUL            ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,77
SORGO GRANIFERO          ;EM GRÃOS            ;4745;SP        ;SUDESTE        ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,83
SORGO GRANIFERO          ;EM GRÃOS            ;4745;TO        ;NORTE          ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,65
SPERTO                   ;250 G/KG ACETAMIPRID;12051;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;150,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;245,0
SPERTO                   ;250 G/KG            ;13986;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;159,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;132,71
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;160,0
SPERTO                   ;NÃO INFORMADO       ;12049;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;179,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;132,0
SPERTO                   ;NÃO INFORMADO       ;12049;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;120,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;145,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;120,0
SPERTO                   ;250 G/KG            ;13986;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;131,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;156,64
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;131,39
SPERTO                   ;NÃO INFORMADO       ;12049;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;180,1
SPERTO                   ;NÃO INFORMADO       ;12049;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;180,1
SPERTO                   ;250 G/KG ACETAMIPRID;12051;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;140,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;110,0
SPERTO                   ;250 G/KG            ;13986;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;111,86
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;126,0
SPERTO                   ;250 G/KG ACETAMIPRID;12051;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;127,88
SPERTO                   ;NÃO INFORMADO       ;12049;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;180,1
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;250,0
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;230,0
SPHERE MAX               ;NÃO INFORMADO       ;10030;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;276,6
SPHERE MAX               ;NÃO INFORMADO       ;10030;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;175,69
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;235,86
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;262,95
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;250,0
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;200,0
SPHERE MAX               ;NÃO INFORMADO       ;10030;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;278,5
SPHERE MAX               ;NÃO INFORMADO       ;10030;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;170,24
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;228,76
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;245,0
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;180,0
SPHERE MAX               ;NÃO INFORMADO       ;10030;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;228,52
SPHERE MAX               ;NÃO INFORMADO       ;10030;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;174,0
SPHERE MAX               ;SC 375 + 160 G/L TRI;12009;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;228,76
SPIDER                   ;840 WG 840 G/KG DICL;7261;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;2420,95
SPIDER                   ;840 WG 840 G/KG DICL;7261;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2241,43
SPIRIT SC                ;87,5 + 273 G/L DINOT;15245;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;156,0
SPOROTHRIX               ;NÃO INFORMADO       ;8675;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;197,0
SPOT                     ;NÃO INFORMADO       ;15045;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;253,6
SPOT                     ;NÃO INFORMADO       ;15045;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;258,0
STAM 800 WG              ;NÃO INFORMADO       ;15511;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;75,0
STAM 800 WG              ;NÃO INFORMADO       ;15511;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;75,0
STANDAK                  ;250 G/L FIPRONIL PIR;7116;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;664,0
STANDAK                  ;250 G/L FIPRONIL PIR;7116;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;426,33
STANDAK                  ;250 G/L FIPRONIL PIR;7116;RS        ;SUL            ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;435,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;800,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;523,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;530,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;477,97
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;497,25
STANDAK TOP              ;TRATAMENTO DE SEMENT;13196;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;445,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;498,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;770,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;484,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;467,26
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;456,13
STANDAK TOP              ;TRATAMENTO DE SEMENT;13196;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;482,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;476,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;755,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;478,0
STANDAK TOP              ;NÃO INFORMADO       ;10190;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;478,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;457,18
STANDAK TOP              ;TRATAMENTO DE SEMENT;13196;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;450,0
STANDAK TOP              ;SC 25 G/L + 225 G/L ;10191;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;478,0
STAPLE                   ;280 CS 280 G/L PIRIT;4073;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;950,0
STAPLE                   ;280 CS 280 G/L PIRIT;4073;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;804,0
STARICE                  ;STARICE 69 G/L FENOX;10446;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;76,25
STARICE                  ;STARICE 69 G/L FENOX;10446;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;75,49
STARICE                  ;STARICE 69 G/L FENOX;10446;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;77,18
STARTER MANGANES PLATINUM;NÃO INFORMADO       ;10553;DF        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;32,0
STARTER MANGANES PLATINUM;NÃO INFORMADO       ;10553;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;16,7
STARTER MANGANES PLATINUM;NÃO INFORMADO       ;10553;DF        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;30,0
STARTER MANGANES PLATINUM;NÃO INFORMADO       ;10553;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;16,73
STARTER MANGANES PLATINUM;STOLLER DO BRASIL LT;10554;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;30,0
STARTER MANGANES PLATINUM;NÃO INFORMADO       ;10553;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;14,29
STATUS                   ;588 G/L OXICLORETO D;12119;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;45,93
STATUS                   ;588 G/L OXICLORETO D;12119;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;45,93
STATUS                   ;588 G/L OXICLORETO D;12119;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;45,93
STIMUCONTROL             ;0,5 % TRICHODERMA HA;14333;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;115,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;158,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;219,53
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;189,68
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;215,0
STIMULATE                ;NÃO INFORMADO       ;10528;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;162,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;136,28
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;239,2
STIMULATE                ;NÃO INFORMADO       ;10528;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;180,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;155,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;216,22
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;182,84
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;180,0
STIMULATE                ;0,09 G/L + 0,05 G/L ;10529;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;223,66
STIMULATE                ;NÃO INFORMADO       ;10528;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;185,0
STOLLER MOVER            ;NÃO INFORMADO       ;12749;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;26,98
STOLLER SETT             ;NÃO INFORMADO       ;12746;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;18,5
STOLLER ZINCO            ;NÃO INFORMADO       ;15278;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;17,5
SUBSOLADOR               ;09 HASTES STARA     ;12569;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
SUBSOLADOR               ;15 HASTES STARA ASA ;12548;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;100000,0
SUBSOLADOR               ;11 HASTES           ;10309;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;94626,0
SUBSOLADOR               ;09 HASTES           ;4960;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;63204,0
SUBSOLADOR               ;05 HASTES DE ARRASTO;10872;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;12000,0
SUBSOLADOR               ;07 HASTES BECKER UND;14303;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;25727,08
SUBSOLADOR               ;05 HASTES           ;4955;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;10137,5
SUBSOLADOR               ;05 HASTES           ;4955;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;68000,0
SUBSOLADOR               ;NÃO INFORMADO       ;4957;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;9000,0
SUBSOLADOR               ;05 HASTES           ;4955;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;10500,0
SUBSOLADOR               ;01 HASTE            ;10859;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;80000,0
SUBSOLADOR               ;03 HASTES           ;4958;MG        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;7000,0
SUBSOLADOR               ;05 HASTES SÃO JOSÉ  ;14242;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;10823,8
SUBSOLADOR               ;09 HASTES STARA     ;12569;BA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
SUBSOLADOR               ;15 HASTES STARA ASA ;12548;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;100000,0
SUBSOLADOR               ;11 HASTES           ;10309;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;94626,0
SUBSOLADOR               ;09 HASTES           ;4960;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;63204,0
SUBSOLADOR               ;09 HASTES STARA     ;12569;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
SUBSOLADOR               ;11 HASTES           ;10309;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;89371,0
SUBSOLADOR               ;05 HASTES FIXO STARA;14062;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;9322,0
SUCCESS                  ;APLICAÇÃO DE AGROTÓX;13174;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;55,0
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;6;ATACADO                                                     ;12,9
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;7;ATACADO                                                     ;12,63
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;8;ATACADO                                                     ;12,43
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;9;ATACADO                                                     ;12,76
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;10;ATACADO                                                     ;13,47
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;11;ATACADO                                                     ;12,83
SUCO                     ;DE UVA INTEGRAL     ;11146;RS        ;SUL            ;2025;12;ATACADO                                                     ;12,99
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,43
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,25
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,72
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,08
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,04
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,25
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,4
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,23
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,24
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,64
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,87
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,04
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,25
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,4
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,53
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,59
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,99
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,11
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,94
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,06
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,61
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,9
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,94
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,43
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,72
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,08
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,4
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;9,27
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,26
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,29
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,03
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,31
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,26
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,08
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,74
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,38
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,44
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,24
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,08
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,33
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,75
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,5
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,49
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,09
SUINO                    ;SISTEMA INTEGRADO VI;11544;SC        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,92
SUINO                    ;SISTEMA INDEPENDENTE;11545;SC        ;SUL            ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,74
SUINO                    ;VIVO                ;4206;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,9
SUINO                    ;VIVO                ;4206;GO        ;CENTRO-OESTE   ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,2
SUINO                    ;VIVO                ;4206;MG        ;SUDESTE        ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,95
SUINO                    ;VIVO                ;4206;MT        ;CENTRO-OESTE   ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,78
SUINO                    ;VIVO                ;4206;PR        ;SUL            ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,59
